 1st    2nd   f1_avg   time_to_run
  6.00  21.00  86.90   0.00 
  6.00  22.00  87.77   0.00 
  6.00  23.00  83.09   0.00 
  6.00  24.00  81.89   0.00 
  6.00  25.00  86.26   0.00 
  6.00  26.00  85.03   0.00 
  6.00  27.00  88.22   0.00 
  6.00  28.00  86.59   0.00 
  6.00  29.00  79.72   0.00 
  6.00  30.00  81.34   0.00 
  7.00   0.00  81.55   0.00 
  7.00   1.00  21.39   0.00 
  7.00   2.00  34.51   0.00 
  7.00   3.00  26.73   0.00 
  7.00   4.00  62.47   0.00 
  7.00   5.00  65.09   0.00 
  7.00   6.00  80.58   0.00 
  7.00   7.00  87.80   0.00 
  7.00   8.00  82.83   0.00 
  7.00   9.00  81.87   0.00 
  7.00  10.00  83.97   0.00 
  7.00  11.00  80.42   0.00 
  7.00  12.00  81.73   0.00 
  7.00  13.00  83.51   0.00 
  7.00  14.00  83.25   0.00 
  7.00  15.00  87.08   0.00 
  7.00  16.00  83.42   0.00 
  7.00  17.00  84.56   0.00 
  7.00  18.00  83.65   0.00 
  7.00  19.00  88.73   0.00 
  7.00  20.00  85.72   0.00 
  7.00  21.00  83.82   0.00 
  7.00  22.00  83.65   0.00 
  7.00  23.00  86.73   0.00 
  7.00  24.00  85.19   0.00 
  7.00  25.00  86.99   0.00 
  7.00  26.00  85.39   0.00 
  7.00  27.00  85.15   0.00 
  7.00  28.00  79.77   0.00 
  7.00  29.00  88.13   0.00 
  7.00  30.00  87.43   0.00 
  8.00   0.00  84.04   0.00 
  8.00   1.00  21.23   0.00 
  8.00   2.00  25.52   0.00 
  8.00   3.00  26.46   0.00 
  8.00   4.00  38.42   0.00 
  8.00   5.00  80.91   0.00 
  8.00   6.00  79.90   0.00 
  8.00   7.00  71.51   0.00 
  8.00   8.00  85.26   0.00 
  8.00   9.00  84.70   0.00 
  8.00  10.00  80.98   0.00 
  8.00  11.00  84.56   0.00 
  8.00  12.00  87.56   0.00 
  8.00  13.00  81.08   0.00 
  8.00  14.00  86.36   0.00 
  8.00  15.00  83.30   0.00 
  8.00  16.00  82.89   0.00 
  8.00  17.00  86.14   0.00 
  8.00  18.00  86.57   0.00 
  8.00  19.00  83.39   0.00 
  8.00  20.00  81.70   0.00 
  8.00  21.00  85.76   0.00 
  8.00  22.00  87.53   0.00 
  8.00  23.00  87.67   0.00 
  8.00  24.00  85.60   0.00 
  8.00  25.00  86.31   0.00 
  8.00  26.00  87.43   0.00 
  8.00  27.00  86.48   0.00 
  8.00  28.00  87.73   0.00 
  8.00  29.00  82.92   0.00 
  8.00  30.00  89.81   0.00 
  9.00   0.00  82.17   0.00 
  9.00   1.00  21.05   0.00 
  9.00   2.00  30.18   0.00 
  9.00   3.00  50.64   0.00 
  9.00   4.00  59.71   0.00 
  9.00   5.00  46.82   0.00 
  9.00   6.00  85.82   0.00 
  9.00   7.00  74.73   0.00 
  9.00   8.00  82.93   0.00 
  9.00   9.00  85.33   0.00 
  9.00  10.00  81.10   0.00 
  9.00  11.00  82.62   0.00 
  9.00  12.00  86.16   0.00 
  9.00  13.00  83.03   0.00 
  9.00  14.00  79.90   0.00 
  9.00  15.00  77.30   0.00 
  9.00  16.00  83.12   0.00 
  9.00  17.00  77.62   0.00 
  9.00  18.00  86.26   0.00 
  9.00  19.00  85.05   0.00 
  9.00  20.00  81.83   0.00 
  9.00  21.00  81.99   0.00 
  9.00  22.00  88.08   0.00 
  9.00  23.00  86.19   0.00 
  9.00  24.00  86.66   0.00 
  9.00  25.00  83.64   0.00 
  9.00  26.00  86.10   0.00 
  9.00  27.00  88.31   0.00 
  9.00  28.00  83.24   0.00 
  9.00  29.00  85.44   0.00 
  9.00  30.00  83.54   0.00 
 10.00   0.00  84.84   0.00 
 10.00   1.00  21.35   0.00 
 10.00   2.00  36.52   0.00 
 10.00   3.00  59.59   0.00 
 10.00   4.00  78.16   0.00 
 10.00   5.00  79.72   0.00 
 10.00   6.00  83.75   0.00 
 10.00   7.00  75.53   0.00 
 10.00   8.00  78.70   0.00 
 10.00   9.00  82.90   0.00 
 10.00  10.00  87.62   0.00 
 10.00  11.00  83.52   0.00 
 10.00  12.00  85.04   0.00 
 10.00  13.00  82.76   0.00 
 10.00  14.00  79.68   0.00 
 10.00  15.00  84.58   0.00 
 10.00  16.00  85.09   0.00 
 10.00  17.00  80.53   0.00 
 10.00  18.00  85.75   0.00 
 10.00  19.00  87.94   0.00 
 10.00  20.00  78.98   0.00 
 10.00  21.00  82.36   0.00 
 10.00  22.00  87.21   0.00 
 10.00  23.00  84.32   0.00 
 10.00  24.00  87.82   0.00 
 10.00  25.00  84.65   0.00 
 10.00  26.00  83.87   0.00 
 10.00  27.00  86.22   0.00 
 10.00  28.00  87.98   0.00 
 10.00  29.00  88.72   0.00 
 10.00  30.00  87.21   0.00 
 11.00   0.00  82.39   0.00 
 11.00   1.00  23.90   0.00 
 11.00   2.00  35.96   0.00 
 11.00   3.00  39.46   0.00 
 11.00   4.00  71.92   0.00 
 11.00   5.00  84.24   0.00 
 11.00   6.00  86.74   0.00 
 11.00   7.00  86.21   0.00 
 11.00   8.00  81.79   0.00 
 11.00   9.00  80.07   0.00 
 11.00  10.00  84.19   0.00 
 11.00  11.00  84.92   0.00 
 11.00  12.00  82.61   0.00 
 11.00  13.00  79.85   0.00 
 11.00  14.00  86.40   0.00 
 11.00  15.00  84.76   0.00 
 11.00  16.00  86.84   0.00 
 11.00  17.00  82.39   0.00 
 11.00  18.00  80.56   0.00 
 11.00  19.00  86.92   0.00 
 11.00  20.00  86.28   0.00 
 11.00  21.00  82.39   0.00 
 11.00  22.00  89.02   0.00 
 11.00  23.00  85.11   0.00 
 11.00  24.00  88.73   0.00 
 11.00  25.00  89.10   0.00 
 11.00  26.00  87.55   0.00 
 11.00  27.00  85.45   0.00 
 11.00  28.00  82.55   0.00 
 11.00  29.00  87.60   0.00 
 11.00  30.00  87.47   0.00 
 12.00   0.00  81.32   0.00 
 12.00   1.00  21.81   0.00 
 12.00   2.00  24.66   0.00 
 12.00   3.00  51.61   0.00 
 12.00   4.00  54.25   0.00 
 12.00   5.00  83.66   0.00 
 12.00   6.00  46.57   0.00 
 12.00   7.00  86.73   0.00 
 12.00   8.00  82.01   0.00 
 12.00   9.00  47.72   0.00 
 12.00  10.00  81.01   0.00 
 12.00  11.00  86.14   0.00 
 12.00  12.00  83.04   0.00 
 12.00  13.00  89.05   0.00 
 12.00  14.00  88.66   0.00 
 12.00  15.00  79.57   0.00 
 12.00  16.00  85.43   0.00 
 12.00  17.00  87.74   0.00 
