 1st    2nd   f1_avg 
  5.00  23.00  73.51 
  5.00  24.00  66.53 
  5.00  25.00  69.33 
  5.00  26.00  64.79 
  5.00  27.00  69.95 
  5.00  28.00  66.16 
  5.00  29.00  72.59 
  5.00  30.00  70.35 
  5.00  31.00  72.92 
  5.00  32.00  57.63 
  5.00  33.00  71.43 
  5.00  34.00  60.68 
  5.00  35.00  67.89 
  5.00  36.00  71.17 
  5.00  37.00  66.57 
  5.00  38.00  67.58 
  5.00  39.00  58.30 
  5.00  40.00  69.02 
  5.00  41.00  66.21 
  5.00  42.00  64.78 
  5.00  43.00  67.76 
  5.00  44.00  65.40 
  5.00  45.00  68.18 
  5.00  46.00  60.36 
  5.00  47.00  70.45 
  5.00  48.00  60.10 
  5.00  49.00  43.88 
  5.00  50.00  68.17 
  6.00   0.00  72.41 
  6.00   1.00  20.43 
  6.00   2.00  34.92 
  6.00   3.00  40.70 
  6.00   4.00  62.46 
  6.00   5.00  53.74 
  6.00   6.00  67.03 
  6.00   7.00  61.64 
  6.00   8.00  68.57 
  6.00   9.00  72.73 
  6.00  10.00  70.85 
  6.00  11.00  70.82 
  6.00  12.00  68.54 
  6.00  13.00  68.94 
  6.00  14.00  70.68 
  6.00  15.00  70.23 
  6.00  16.00  74.11 
  6.00  17.00  68.31 
  6.00  18.00  63.20 
  6.00  19.00  70.06 
  6.00  20.00  68.90 
  6.00  21.00  60.85 
  6.00  22.00  68.24 
  6.00  23.00  71.84 
  6.00  24.00  69.49 
  6.00  25.00  69.70 
  6.00  26.00  70.64 
  6.00  27.00  68.08 
  6.00  28.00  68.37 
  6.00  29.00  67.69 
  6.00  30.00  67.43 
  6.00  31.00  65.01 
  6.00  32.00  69.34 
  6.00  33.00  60.54 
  6.00  34.00  61.38 
  6.00  35.00  70.49 
  6.00  36.00  70.29 
  6.00  37.00  63.31 
  6.00  38.00  58.63 
  6.00  39.00  65.52 
  6.00  40.00  70.85 
  6.00  41.00  57.25 
  6.00  42.00  61.85 
  6.00  43.00  68.61 
  6.00  44.00  69.51 
  6.00  45.00  65.10 
  6.00  46.00  64.07 
  6.00  47.00  66.67 
  6.00  48.00  68.43 
  6.00  49.00  59.78 
  6.00  50.00  60.06 
  7.00   0.00  66.15 
  7.00   1.00  21.23 
  7.00   2.00  35.03 
  7.00   3.00  43.37 
  7.00   4.00  64.98 
  7.00   5.00  75.03 
  7.00   6.00  66.08 
  7.00   7.00  68.66 
  7.00   8.00  73.89 
  7.00   9.00  73.11 
  7.00  10.00  69.96 
  7.00  11.00  68.84 
  7.00  12.00  73.04 
  7.00  13.00  70.16 
  7.00  14.00  70.44 
  7.00  15.00  74.72 
  7.00  16.00  73.82 
  7.00  17.00  70.23 
  7.00  18.00  75.92 
  7.00  19.00  73.25 
  7.00  20.00  71.82 
  7.00  21.00  70.61 
  7.00  22.00  67.27 
  7.00  23.00  66.43 
  7.00  24.00  73.29 
  7.00  25.00  69.27 
  7.00  26.00  68.78 
  7.00  27.00  68.39 
  7.00  28.00  68.43 
  7.00  29.00  70.76 
  7.00  30.00  70.15 
  7.00  31.00  73.06 
  7.00  32.00  70.03 
  7.00  33.00  70.60 
  7.00  34.00  66.01 
  7.00  35.00  70.76 
  7.00  36.00  71.19 
  7.00  37.00  61.16 
  7.00  38.00  70.44 
  7.00  39.00  64.57 
  7.00  40.00  63.29 
  7.00  41.00  65.35 
  7.00  42.00  73.93 
  7.00  43.00  58.38 
  7.00  44.00  66.52 
  7.00  45.00  65.38 
  7.00  46.00  67.54 
  7.00  47.00  67.11 
  7.00  48.00  69.64 
  7.00  49.00  61.20 
  7.00  50.00  63.92 
  8.00   0.00  75.34 
  8.00   1.00  19.66 
  8.00   2.00  29.01 
  8.00   3.00  48.26 
  8.00   4.00  30.03 
  8.00   5.00  63.32 
  8.00   6.00  72.83 
  8.00   7.00  54.11 
  8.00   8.00  67.10 
  8.00   9.00  72.26 
  8.00  10.00  71.75 
  8.00  11.00  63.54 
  8.00  12.00  70.26 
  8.00  13.00  72.02 
  8.00  14.00  72.57 
  8.00  15.00  71.06 
  8.00  16.00  71.30 
  8.00  17.00  67.65 
  8.00  18.00  72.05 
  8.00  19.00  65.06 
  8.00  20.00  71.02 
  8.00  21.00  71.90 
  8.00  22.00  71.21 
  8.00  23.00  71.17 
  8.00  24.00  73.15 
  8.00  25.00  73.69 
  8.00  26.00  66.51 
  8.00  27.00  67.84 
  8.00  28.00  73.14 
  8.00  29.00  71.49 
  8.00  30.00  69.30 
  8.00  31.00  67.41 
  8.00  32.00  62.09 
  8.00  33.00  70.56 
  8.00  34.00  68.89 
  8.00  35.00  69.53 
  8.00  36.00  64.01 
  8.00  37.00  66.37 
  8.00  38.00  64.93 
  8.00  39.00  72.57 
  8.00  40.00  65.02 
  8.00  41.00  64.98 
  8.00  42.00  69.53 
  8.00  43.00  63.66 
  8.00  44.00  66.18 
  8.00  45.00  70.48 
  8.00  46.00  65.76 
  8.00  47.00  64.77 
  8.00  48.00  66.04 
  8.00  49.00  67.22 
  8.00  50.00  65.04 
  9.00   0.00  74.02 
  9.00   1.00  16.35 
  9.00   2.00  35.67 
  9.00   3.00  43.43 
  9.00   4.00  52.45 
  9.00   5.00  62.93 
  9.00   6.00  65.00 
  9.00   7.00  70.53 
  9.00   8.00  64.60 
  9.00   9.00  68.56 
  9.00  10.00  57.31 
  9.00  11.00  67.35 
  9.00  12.00  74.47 
  9.00  13.00  67.90 
  9.00  14.00  68.11 
  9.00  15.00  69.79 
  9.00  16.00  76.86 
  9.00  17.00  72.78 
  9.00  18.00  70.07 
  9.00  19.00  67.03 
  9.00  20.00  70.12 
  9.00  21.00  72.02 
  9.00  22.00  67.70 
  9.00  23.00  69.05 
  9.00  24.00  65.97 
  9.00  25.00  68.17 
  9.00  26.00  68.95 
  9.00  27.00  67.94 
  9.00  28.00  66.55 
  9.00  29.00  70.40 
  9.00  30.00  76.68 
  9.00  31.00  64.21 
  9.00  32.00  68.28 
  9.00  33.00  69.14 
  9.00  34.00  68.01 
  9.00  35.00  65.77 
  9.00  36.00  71.20 
  9.00  37.00  71.74 
  9.00  38.00  68.71 
  9.00  39.00  71.06 
  9.00  40.00  65.39 
  9.00  41.00  70.17 
  9.00  42.00  67.10 
  9.00  43.00  70.48 
  9.00  44.00  68.94 
  9.00  45.00  69.03 
  9.00  46.00  65.04 
  9.00  47.00  70.34 
  9.00  48.00  69.99 
  9.00  49.00  67.90 
  9.00  50.00  65.06 
 10.00   0.00  75.15 
 10.00   1.00  19.49 
 10.00   2.00  34.69 
 10.00   3.00  49.44 
 10.00   4.00  58.57 
 10.00   5.00  56.12 
 10.00   6.00  67.93 
 10.00   7.00  66.17 
 10.00   8.00  63.72 
 10.00   9.00  62.87 
 10.00  10.00  71.40 
 10.00  11.00  66.91 
 10.00  12.00  73.44 
 10.00  13.00  72.06 
 10.00  14.00  67.99 
 10.00  15.00  72.44 
 10.00  16.00  75.06 
 10.00  17.00  67.11 
 10.00  18.00  68.76 
 10.00  19.00  65.94 
 10.00  20.00  59.48 
 10.00  21.00  70.31 
 10.00  22.00  72.58 
 10.00  23.00  64.97 
 10.00  24.00  70.11 
 10.00  25.00  68.67 
 10.00  26.00  68.30 
 10.00  27.00  71.73 
 10.00  28.00  75.90 
 10.00  29.00  68.27 
 10.00  30.00  69.23 
 10.00  31.00  71.71 
 10.00  32.00  68.35 
 10.00  33.00  75.90 
 10.00  34.00  66.59 
 10.00  35.00  67.86 
 10.00  36.00  66.37 
 10.00  37.00  74.26 
 10.00  38.00  70.73 
 10.00  39.00  69.84 
 10.00  40.00  64.82 
 10.00  41.00  67.84 
 10.00  42.00  72.19 
 10.00  43.00  71.17 
 10.00  44.00  69.48 
 10.00  45.00  63.24 
 10.00  46.00  66.56 
 10.00  47.00  65.62 
 10.00  48.00  67.56 
 10.00  49.00  64.21 
 10.00  50.00  67.70 
 11.00   0.00  69.39 
 11.00   1.00  19.92 
 11.00   2.00  34.52 
 11.00   3.00  51.20 
 11.00   4.00  50.04 
 11.00   5.00  54.50 
 11.00   6.00  61.48 
 11.00   7.00  71.61 
 11.00   8.00  75.38 
 11.00   9.00  68.76 
 11.00  10.00  61.91 
 11.00  11.00  76.44 
 11.00  12.00  74.13 
 11.00  13.00  68.31 
 11.00  14.00  70.52 
 11.00  15.00  66.81 
 11.00  16.00  68.92 
 11.00  17.00  71.91 
 11.00  18.00  72.84 
 11.00  19.00  70.61 
 11.00  20.00  70.58 
 11.00  21.00  70.94 
 11.00  22.00  68.13 
 11.00  23.00  68.02 
 11.00  24.00  63.29 
 11.00  25.00  71.85 
 11.00  26.00  73.20 
 11.00  27.00  65.91 
 11.00  28.00  72.89 
 11.00  29.00  70.19 
 11.00  30.00  75.85 
 11.00  31.00  72.00 
 11.00  32.00  64.00 
 11.00  33.00  70.90 
 11.00  34.00  68.05 
 11.00  35.00  67.37 
 11.00  36.00  71.82 
 11.00  37.00  69.28 
 11.00  38.00  66.25 
 11.00  39.00  71.48 
 11.00  40.00  66.31 
 11.00  41.00  69.33 
 11.00  42.00  72.89 
 11.00  43.00  71.78 
 11.00  44.00  73.61 
 11.00  45.00  73.49 
 11.00  46.00  69.20 
 11.00  47.00  72.40 
 11.00  48.00  70.31 
 11.00  49.00  66.48 
 11.00  50.00  66.91 

 12.00   0.00  78.06 

 12.00   1.00  16.70 
 12.00   2.00  18.02 
 12.00   3.00  11.22 
 12.00   4.00  14.63 
 12.00   5.00  49.27 
 12.00   6.00  69.15 
 12.00   7.00  49.33 
 12.00   8.00  60.82 
 12.00   9.00  63.80 
 12.00  10.00  60.53 
 12.00  11.00  66.97 
 12.00  12.00  67.64 
 12.00  13.00  71.39 
 12.00  14.00  68.20 
 12.00  15.00  69.75 
 12.00  16.00  66.98 
 12.00  17.00  71.11 
 12.00  18.00  65.98 
 12.00  19.00  67.56 
 12.00  20.00  67.58 
 12.00  21.00  69.10 
 12.00  22.00  74.25 
 12.00  23.00  64.70 
 12.00  24.00  70.24 
 12.00  25.00  68.40 
 12.00  26.00  68.35 
 12.00  27.00  68.14 
 12.00  28.00  67.15 
 12.00  29.00  72.40 
 12.00  30.00  70.91 
 12.00  31.00  70.32 
 12.00  32.00  69.74 
 12.00  33.00  66.81 
 12.00  34.00  65.91 
 12.00  35.00  70.13 
 12.00  36.00  71.69 
 12.00  37.00  66.78 
 12.00  38.00  64.77 
 12.00  39.00  70.82 
 12.00  40.00  65.72 
 12.00  41.00  62.54 
 12.00  42.00  66.11 
 12.00  43.00  72.26 
 12.00  44.00  74.54 
 12.00  45.00  64.05 
 12.00  46.00  68.74 
 12.00  47.00  65.00 
 12.00  48.00  70.37 
 12.00  49.00  68.72 
 12.00  50.00  67.92 
 13.00   0.00  76.68 
 13.00   1.00  18.73 
 13.00   2.00  29.27 
 13.00   3.00  31.42 
 13.00   4.00  33.62 
 13.00   5.00  45.46 
 13.00   6.00  68.20 
 13.00   7.00  70.72 
 13.00   8.00  58.26 
 13.00   9.00  65.45 
 13.00  10.00  74.37 
 13.00  11.00  73.50 
 13.00  12.00  71.70 
 13.00  13.00  71.13 
 13.00  14.00  69.04 
 13.00  15.00  68.62 
 13.00  16.00  73.36 
 13.00  17.00  65.89 
 13.00  18.00  71.56 
 13.00  19.00  67.97 
 13.00  20.00  70.23 
 13.00  21.00  67.78 
 13.00  22.00  68.92 
 13.00  23.00  69.85 
 13.00  24.00  62.98 
 13.00  25.00  69.37 
 13.00  26.00  71.96 
 13.00  27.00  69.81 
 13.00  28.00  65.14 
 13.00  29.00  70.45 
 13.00  30.00  68.50 
 13.00  31.00  74.74 
 13.00  32.00  60.79 
 13.00  33.00  67.77 
 13.00  34.00  73.26 
 13.00  35.00  66.65 
 13.00  36.00  67.04 
 13.00  37.00  71.71 
 13.00  38.00  70.99 
 13.00  39.00  66.78 
 13.00  40.00  66.46 
 13.00  41.00  67.96 
 13.00  42.00  67.62 
 13.00  43.00  69.21 
 13.00  44.00  71.71 
 13.00  45.00  70.98 
 13.00  46.00  71.62 
 13.00  47.00  70.29 
 13.00  48.00  69.56 
 13.00  49.00  67.24 
 13.00  50.00  65.80 
 14.00   0.00  69.44 
 14.00   1.00  18.68 
 14.00   2.00  36.55 
 14.00   3.00  37.74 
 14.00   4.00  63.53 
 14.00   5.00  53.92 
 14.00   6.00  66.27 
 14.00   7.00  62.30 
 14.00   8.00  55.02 
 14.00   9.00  71.81 
 14.00  10.00  68.76 
 14.00  11.00  64.79 
 14.00  12.00  72.64 
 14.00  13.00  70.70 
 14.00  14.00  72.92 
 14.00  15.00  64.35 
 14.00  16.00  67.30 
 14.00  17.00  65.95 
 14.00  18.00  66.88 
 14.00  19.00  67.51 
 14.00  20.00  68.40 
 14.00  21.00  65.70 
 14.00  22.00  65.48 
 14.00  23.00  74.72 
 14.00  24.00  65.51 
 14.00  25.00  65.56 
 14.00  26.00  67.64 
 14.00  27.00  72.75 
 14.00  28.00  72.73 
 14.00  29.00  67.85 
 14.00  30.00  73.43 
 14.00  31.00  68.83 
 14.00  32.00  69.69 
 14.00  33.00  60.84 
 14.00  34.00  72.43 
 14.00  35.00  70.87 
 14.00  36.00  66.31 
 14.00  37.00  70.11 
 14.00  38.00  67.94 
 14.00  39.00  72.98 
 14.00  40.00  69.48 
 14.00  41.00  75.15 
 14.00  42.00  71.78 
 14.00  43.00  68.85 
 14.00  44.00  74.23 
 14.00  45.00  63.32 
 14.00  46.00  73.75 
 14.00  47.00  68.11 
 14.00  48.00  58.36 
 14.00  49.00  72.56 
 14.00  50.00  71.77 
 15.00   0.00  71.89 
 15.00   1.00  18.50 
 15.00   2.00  27.87 
 15.00   3.00  39.66 
 15.00   4.00  21.93 
 15.00   5.00  67.27 
 15.00   6.00  63.31 
 15.00   7.00  70.95 
 15.00   8.00  67.62 
 15.00   9.00  72.68 
 15.00  10.00  71.43 
 15.00  11.00  69.19 
 15.00  12.00  27.37 
 15.00  13.00  67.48 
 15.00  14.00  67.13 
 15.00  15.00  61.12 
 15.00  16.00  68.25 
 15.00  17.00  66.30 
 15.00  18.00  49.23 
 15.00  19.00  71.03 
 15.00  20.00  58.26 
 15.00  21.00  64.40 
 15.00  22.00  65.17 
 15.00  23.00  65.73 
 15.00  24.00  68.38 
 15.00  25.00  65.01 
 15.00  26.00  62.57 
 15.00  27.00  66.86 
 15.00  28.00  69.19 
 15.00  29.00  69.73 
 15.00  30.00  66.57 
 15.00  31.00  62.94 
 15.00  32.00  61.17 
 15.00  33.00  74.38 
 15.00  34.00  73.25 
 15.00  35.00  63.65 
 15.00  36.00  70.92 
 15.00  37.00  70.30 
 15.00  38.00  71.70 
 15.00  39.00  66.32 
 15.00  40.00  59.89 
 15.00  41.00  70.23 
 15.00  42.00  71.05 
 15.00  43.00  41.04 
 15.00  44.00  69.34 
 15.00  45.00  68.89 
 15.00  46.00  71.50 
 15.00  47.00  64.21 
 15.00  48.00  67.43 
 15.00  49.00  66.98 
 15.00  50.00  64.08 
 16.00   0.00  73.20 
 16.00   1.00   4.76 
 16.00   2.00  39.08 
 16.00   3.00  19.04 
 16.00   4.00  63.66 
 16.00   5.00  51.94 
 16.00   6.00  43.22 
 16.00   7.00  41.38 
 16.00   8.00  58.79 
 16.00   9.00  62.73 
 16.00  10.00  63.65 
 16.00  11.00  66.28 
 16.00  12.00  64.12 
 16.00  13.00  64.93 
 16.00  14.00  67.20 
 16.00  15.00  67.60 
 16.00  16.00  67.85 
 16.00  17.00  72.81 
 16.00  18.00  69.33 
 16.00  19.00  71.40 
 16.00  20.00  61.57 
 16.00  21.00  70.93 
 16.00  22.00  62.79 
 16.00  23.00  69.11 
 16.00  24.00  71.98 
 16.00  25.00  66.46 
 16.00  26.00  62.78 
 16.00  27.00  63.66 
 16.00  28.00  68.86 
 16.00  29.00  70.09 
 16.00  30.00  70.65 
 16.00  31.00  65.98 
 16.00  32.00  70.95 
 16.00  33.00  42.44 
 16.00  34.00  72.15 
 16.00  35.00  65.83 
 16.00  36.00  55.38 
 16.00  37.00  64.44 
 16.00  38.00  71.44 
 16.00  39.00  66.24 
 16.00  40.00  68.97 
 16.00  41.00  56.04 
 16.00  42.00  40.79 
 16.00  43.00  65.46 
 16.00  44.00  68.67 
 16.00  45.00  67.61 
 16.00  46.00  71.79 
 16.00  47.00  65.33 
 16.00  48.00  67.99 
 16.00  49.00  59.79 
 16.00  50.00  68.54 
 17.00   0.00  72.43 
 17.00   1.00  25.30 
 17.00   2.00  34.67 
 17.00   3.00  35.55 
 17.00   4.00  57.65 
 17.00   5.00  29.10 
 17.00   6.00  65.04 
 17.00   7.00  48.98 
 17.00   8.00  50.33 
 17.00   9.00  70.21 
 17.00  10.00  73.72 
 17.00  11.00  76.00 
 17.00  12.00  67.35 
 17.00  13.00  63.71 
 17.00  14.00  55.55 
 17.00  15.00  71.38 
 17.00  16.00  68.81 
 17.00  17.00  65.73 
 17.00  18.00  69.11 
 17.00  19.00  66.10 
 17.00  20.00  64.51 
 17.00  21.00  65.02 
 17.00  22.00  65.10 
 17.00  23.00  63.30 
 17.00  24.00  63.62 
 17.00  25.00  42.73 
 17.00  26.00  67.98 
 17.00  27.00  72.54 
 17.00  28.00  71.49 
 17.00  29.00  70.56 
 17.00  30.00  70.39 
 17.00  31.00  38.32 
 17.00  32.00  67.66 
 17.00  33.00  68.74 
 17.00  34.00  68.46 
 17.00  35.00  70.16 
 17.00  36.00  68.67 
 17.00  37.00  64.32 
 17.00  38.00  69.51 
 17.00  39.00  67.40 
 17.00  40.00  43.17 
 17.00  41.00  71.41 
 17.00  42.00  67.83 
 17.00  43.00  67.57 
 17.00  44.00  63.53 
 17.00  45.00  65.53 
 17.00  46.00  55.95 
 17.00  47.00  72.36 
 17.00  48.00  75.46 
 17.00  49.00  63.81 
 17.00  50.00  63.60 
 18.00   0.00  74.15 
 18.00   1.00  20.39 
