 1st    2nd   f1_avg 
 20.00  26.00  62.53 
 20.00  27.00  59.50 
 20.00  28.00  49.91 
 20.00  29.00  70.38 
 20.00  30.00  61.05 
 20.00  31.00  68.12 
 20.00  32.00  60.33 
 20.00  33.00  75.87 
 20.00  34.00  32.89 
 20.00  35.00  65.88 
 20.00  36.00  54.74 
 20.00  37.00  63.49 
 20.00  38.00  44.15 
 20.00  39.00  68.01 
 20.00  40.00  61.91 
 20.00  41.00  63.99 
 20.00  42.00  70.20 
 20.00  43.00  21.96 
 20.00  44.00  65.98 
 20.00  45.00  59.61 
 20.00  46.00  37.84 
 20.00  47.00  34.08 
 20.00  48.00  62.73 
 20.00  49.00  34.35 
 20.00  50.00  67.41 
 21.00   0.00  70.86 
 21.00   1.00  16.26 
 21.00   2.00  32.33 
 21.00   3.00  28.18 
 21.00   4.00  42.31 
 21.00   5.00  53.15 
 21.00   6.00  54.54 
 21.00   7.00  26.65 
 21.00   8.00  36.04 
 21.00   9.00  65.66 
 21.00  10.00  68.33 
 21.00  11.00  32.52 
 21.00  12.00  65.43 
 21.00  13.00  62.74 
 21.00  14.00  31.87 
 21.00  15.00  60.66 
 21.00  16.00  64.54 
 21.00  17.00  57.94 
 21.00  18.00  36.83 
 21.00  19.00  34.41 
 21.00  20.00  49.13 
 21.00  21.00  66.42 
 21.00  22.00  63.52 
 21.00  23.00  44.41 
 21.00  24.00  52.43 
 21.00  25.00  53.10 
 21.00  26.00  67.83 
 21.00  27.00  55.58 
 21.00  28.00  36.12 
 21.00  29.00  39.00 
 21.00  30.00  48.91 
 21.00  31.00  35.07 
 21.00  32.00  70.61 
 21.00  33.00  39.81 
 21.00  34.00  44.27 
 21.00  35.00  45.78 
 21.00  36.00  59.52 
 21.00  37.00  72.61 
 21.00  38.00  50.62 
 21.00  39.00  49.02 
 21.00  40.00  65.09 
 21.00  41.00  54.12 
 21.00  42.00  32.99 
 21.00  43.00  70.66 
 21.00  44.00  63.99 
 21.00  45.00  36.69 
 21.00  46.00  38.74 
 21.00  47.00  60.77 
 21.00  48.00  38.94 
 21.00  49.00  34.35 
 21.00  50.00  62.79 
 22.00   0.00  74.65 
 22.00   1.00  15.00 
 22.00   2.00  34.76 
 22.00   3.00  37.57 
 22.00   4.00  40.09 
 22.00   5.00  67.38 
 22.00   6.00  59.39 
 22.00   7.00  70.50 
 22.00   8.00  52.64 
 22.00   9.00  57.19 
 22.00  10.00  67.58 
 22.00  11.00  20.73 
 22.00  12.00  54.97 
 22.00  13.00  54.97 
 22.00  14.00  69.16 
 22.00  15.00  58.58 
 22.00  16.00  56.15 
 22.00  17.00  69.46 
 22.00  18.00  29.79 
 22.00  19.00  58.09 
 22.00  20.00  61.64 
 22.00  21.00  48.41 
 22.00  22.00  64.76 
 22.00  23.00  68.50 
 22.00  24.00  21.93 
 22.00  25.00  59.21 
 22.00  26.00  68.65 
 22.00  27.00  39.00 
 22.00  28.00  67.56 
 22.00  29.00  60.25 
 22.00  30.00  39.01 
 22.00  31.00  37.89 
 22.00  32.00  64.50 
 22.00  33.00  33.10 
 22.00  34.00  63.69 
 22.00  35.00  51.54 
 22.00  36.00  69.50 
 22.00  37.00  57.04 
 22.00  38.00  59.59 
 22.00  39.00  65.94 
 22.00  40.00  66.70 
 22.00  41.00  68.13 
 22.00  42.00  37.43 
 22.00  43.00  64.88 
 22.00  44.00  39.62 
 22.00  45.00  58.27 
 22.00  46.00  70.54 
 22.00  47.00  41.88 
 22.00  48.00  28.98 
 22.00  49.00  29.55 
 22.00  50.00  44.82 
 23.00   0.00  72.41 
 23.00   1.00  18.99 
 23.00   2.00  33.51 
 23.00   3.00  35.83 
 23.00   4.00  34.77 
 23.00   5.00  22.38 
 23.00   6.00  33.45 
 23.00   7.00  30.43 
 23.00   8.00  51.45 
 23.00   9.00  35.79 
 23.00  10.00  33.01 
 23.00  11.00  36.40 
 23.00  12.00  21.02 
 23.00  13.00  33.76 
 23.00  14.00  66.02 
 23.00  15.00  40.41 
 23.00  16.00  62.80 
 23.00  17.00  61.78 
 23.00  18.00  29.87 
 23.00  19.00  62.37 
 23.00  20.00  69.63 
 23.00  21.00  21.43 
 23.00  22.00  48.95 
 23.00  23.00  35.16 
 23.00  24.00  31.96 
 23.00  25.00  63.64 
 23.00  26.00  71.71 
 23.00  27.00  45.23 
 23.00  28.00  61.65 
 23.00  29.00  43.07 
 23.00  30.00  67.66 
 23.00  31.00  49.68 
 23.00  32.00  61.27 
 23.00  33.00  70.89 
 23.00  34.00  55.37 
 23.00  35.00  30.88 
 23.00  36.00  43.45 
 23.00  37.00  38.95 
 23.00  38.00  31.20 
 23.00  39.00  65.43 
 23.00  40.00  72.17 
 23.00  41.00  46.25 
 23.00  42.00  33.26 
 23.00  43.00  63.29 
 23.00  44.00  67.77 
 23.00  45.00  70.58 
 23.00  46.00  63.92 
 23.00  47.00  56.65 
 23.00  48.00  36.18 
 23.00  49.00  28.70 
 23.00  50.00  58.97 
 24.00   0.00  73.45 
 24.00   1.00  16.23 
 24.00   2.00  33.26 
 24.00   3.00  22.88 
 24.00   4.00  31.15 
 24.00   5.00  42.75 
 24.00   6.00  63.25 
 24.00   7.00  64.66 
 24.00   8.00  51.16 
 24.00   9.00  41.95 
 24.00  10.00  36.42 
 24.00  11.00  63.88 
 24.00  12.00  30.07 
 24.00  13.00  56.44 
 24.00  14.00  36.93 
 24.00  15.00  33.63 
 24.00  16.00  55.21 
 24.00  17.00  48.05 
 24.00  18.00  30.06 
 24.00  19.00  43.41 
 24.00  20.00  47.10 
 24.00  21.00  34.91 
 24.00  22.00  58.27 
 24.00  23.00  30.82 
 24.00  24.00  39.74 
 24.00  25.00  61.03 
 24.00  26.00  54.42 
 24.00  27.00  46.89 
 24.00  28.00  36.76 
 24.00  29.00  47.06 
 24.00  30.00  51.86 
 24.00  31.00  59.08 
 24.00  32.00  52.12 
 24.00  33.00  23.98 
 24.00  34.00  36.69 
 24.00  35.00  45.03 
 24.00  36.00  31.32 
 24.00  37.00  66.46 
 24.00  38.00  68.31 
 24.00  39.00  27.19 
 24.00  40.00  66.26 
 24.00  41.00  45.12 
 24.00  42.00  44.44 
 24.00  43.00  40.15 
 24.00  44.00  64.65 
 24.00  45.00  55.00 
 24.00  46.00  37.38 
 24.00  47.00  46.37 
 24.00  48.00  67.76 
 24.00  49.00  50.11 
 24.00  50.00  67.17 
 25.00   0.00  70.77 
 25.00   1.00  16.22 
 25.00   2.00  39.51 
 25.00   3.00  27.57 
 25.00   4.00  40.46 
 25.00   5.00  43.93 
 25.00   6.00  33.47 
 25.00   7.00  47.03 
 25.00   8.00  20.52 
 25.00   9.00  44.76 
 25.00  10.00  31.71 
 25.00  11.00  64.75 
 25.00  12.00  54.47 
 25.00  13.00  15.73 
 25.00  14.00  14.94 
 25.00  15.00  38.97 
 25.00  16.00  35.23 
 25.00  17.00  38.12 
 25.00  18.00  43.54 
 25.00  19.00  65.26 
 25.00  20.00  61.38 
 25.00  21.00  64.41 
 25.00  22.00  64.04 
 25.00  23.00  37.50 
 25.00  24.00  56.79 
 25.00  25.00  28.36 
 25.00  26.00  40.70 
 25.00  27.00  42.56 
 25.00  28.00  63.00 
 25.00  29.00  31.62 
 25.00  30.00  66.97 
 25.00  31.00  41.29 
 25.00  32.00  54.80 
 25.00  33.00  40.30 
 25.00  34.00  33.57 
 25.00  35.00  65.22 
 25.00  36.00  32.47 
 25.00  37.00  28.25 
 25.00  38.00  33.96 
 25.00  39.00  22.79 
 25.00  40.00  66.02 
 25.00  41.00  47.49 
 25.00  42.00  70.64 
 25.00  43.00  63.50 
 25.00  44.00  67.29 
 25.00  45.00  61.61 
 25.00  46.00  63.53 
 25.00  47.00  64.34 
 25.00  48.00  60.25 
 25.00  49.00  56.07 
 25.00  50.00  58.80 
 26.00   0.00  72.04 
 26.00   1.00   4.75 
 26.00   2.00  34.47 
 26.00   3.00  45.13 
 26.00   4.00  20.63 
 26.00   5.00  54.12 
 26.00   6.00  25.44 
 26.00   7.00  26.12 
 26.00   8.00  25.31 
 26.00   9.00  33.75 
 26.00  10.00  34.80 
 26.00  11.00  36.90 
 26.00  12.00  64.57 
 26.00  13.00  70.33 
 26.00  14.00  35.88 
 26.00  15.00  63.70 
 26.00  16.00  49.62 
 26.00  17.00  70.93 
 26.00  18.00  68.31 
 26.00  19.00  55.76 
 26.00  20.00  65.67 
 26.00  21.00  61.35 
 26.00  22.00  66.17 
 26.00  23.00  40.89 
 26.00  24.00  29.14 
 26.00  25.00  72.65 
 26.00  26.00  63.36 
 26.00  27.00  30.49 
 26.00  28.00  31.42 
 26.00  29.00  49.68 
 26.00  30.00  29.90 
 26.00  31.00  40.51 
 26.00  32.00  67.41 
 26.00  33.00  39.88 
 26.00  34.00  67.02 
 26.00  35.00  34.10 
 26.00  36.00  35.54 
 26.00  37.00  43.94 
 26.00  38.00  62.32 
 26.00  39.00  27.81 
 26.00  40.00  69.45 
 26.00  41.00  44.92 
 26.00  42.00  29.72 
 26.00  43.00  59.06 
 26.00  44.00  65.72 
 26.00  45.00  61.15 
 26.00  46.00  40.83 
 26.00  47.00  60.29 
 26.00  48.00  59.83 
 26.00  49.00  58.52 
 26.00  50.00  54.12 
 27.00   0.00  72.53 
 27.00   1.00  16.87 
 27.00   2.00  43.08 
 27.00   3.00  22.45 
 27.00   4.00  33.98 
 27.00   5.00  32.62 
 27.00   6.00  40.68 
 27.00   7.00  26.54 
 27.00   8.00  64.00 
 27.00   9.00  53.40 
 27.00  10.00  68.15 
 27.00  11.00  45.95 
 27.00  12.00  38.16 
 27.00  13.00  67.51 
 27.00  14.00  46.17 
 27.00  15.00  62.62 
 27.00  16.00  63.96 
 27.00  17.00  35.29 
 27.00  18.00  61.10 
 27.00  19.00  71.61 
 27.00  20.00  59.54 
 27.00  21.00  31.52 
 27.00  22.00  35.47 
 27.00  23.00  26.96 
 27.00  24.00  21.82 
 27.00  25.00  44.14 
 27.00  26.00  64.30 
 27.00  27.00  40.30 
 27.00  28.00  56.59 
 27.00  29.00  61.73 
 27.00  30.00  40.58 
 27.00  31.00  55.87 
 27.00  32.00  53.17 
 27.00  33.00  35.53 
 27.00  34.00  66.86 
 27.00  35.00  36.19 
 27.00  36.00  54.24 
 27.00  37.00  39.07 
 27.00  38.00  66.57 
 27.00  39.00  51.04 
 27.00  40.00  63.64 
 27.00  41.00  60.91 
 27.00  42.00  64.07 
 27.00  43.00  58.61 
 27.00  44.00  64.31 
 27.00  45.00  58.37 
 27.00  46.00  52.78 
 27.00  47.00  64.42 
 27.00  48.00  49.65 
 27.00  49.00  69.30 
 27.00  50.00  42.66 
 28.00   0.00  70.25 
 28.00   1.00  15.34 
 28.00   2.00  18.84 
 28.00   3.00  22.35 
 28.00   4.00  39.53 
 28.00   5.00  39.12 
 28.00   6.00  71.67 
 28.00   7.00  32.34 
 28.00   8.00  34.98 
 28.00   9.00  64.27 
 28.00  10.00  29.06 
 28.00  11.00  29.85 
 28.00  12.00  35.76 
 28.00  13.00  62.29 
 28.00  14.00  72.56 
 28.00  15.00  63.29 
 28.00  16.00  15.96 
 28.00  17.00  29.65 
 28.00  18.00  52.02 
 28.00  19.00  72.15 
 28.00  20.00  34.52 
 28.00  21.00  67.72 
 28.00  22.00  69.52 
 28.00  23.00  31.94 
 28.00  24.00  57.73 
 28.00  25.00  52.52 
 28.00  26.00  35.68 
 28.00  27.00  32.81 
 28.00  28.00  62.23 
 28.00  29.00  42.67 
 28.00  30.00  44.57 
 28.00  31.00  64.46 
 28.00  32.00  31.29 
 28.00  33.00  34.92 
 28.00  34.00  37.58 
 28.00  35.00  65.17 
 28.00  36.00  62.49 
 28.00  37.00  51.18 
 28.00  38.00  67.45 
 28.00  39.00  71.66 
 28.00  40.00  63.73 
 28.00  41.00  60.17 
 28.00  42.00  59.82 
 28.00  43.00  57.08 
 28.00  44.00  61.39 
 28.00  45.00  65.55 
 28.00  46.00  51.20 
 28.00  47.00  51.67 
 28.00  48.00  65.32 
 28.00  49.00  63.95 
 28.00  50.00  55.93 
 29.00   0.00  71.48 
 29.00   1.00  12.50 
 29.00   2.00  21.75 
 29.00   3.00  42.72 
 29.00   4.00  44.24 
 29.00   5.00  29.42 
 29.00   6.00  55.11 
 29.00   7.00  34.15 
 29.00   8.00  32.80 
 29.00   9.00  49.87 
 29.00  10.00  68.80 
 29.00  11.00  23.44 
 29.00  12.00  72.61 
 29.00  13.00  40.54 
 29.00  14.00  50.98 
 29.00  15.00  22.36 
 29.00  16.00  32.35 
 29.00  17.00  33.33 
 29.00  18.00  66.36 
 29.00  19.00  27.10 
 29.00  20.00  47.03 
 29.00  21.00  30.65 
 29.00  22.00  71.01 
 29.00  23.00  44.54 
 29.00  24.00  69.55 
 29.00  25.00  68.35 
 29.00  26.00  48.55 
 29.00  27.00  63.94 
 29.00  28.00  54.46 
 29.00  29.00  46.26 
 29.00  30.00  67.98 
 29.00  31.00  40.20 
 29.00  32.00  33.74 
 29.00  33.00  39.75 
 29.00  34.00  38.79 
 29.00  35.00  38.10 
 29.00  36.00  39.73 
 29.00  37.00  56.59 
 29.00  38.00  59.95 
 29.00  39.00  69.69 
 29.00  40.00  66.69 
 29.00  41.00  48.97 
 29.00  42.00  58.24 
 29.00  43.00  43.72 
 29.00  44.00  51.26 
 29.00  45.00  50.00 
 29.00  46.00  65.58 
 29.00  47.00  54.24 
 29.00  48.00  52.45 
 29.00  49.00  56.32 
 29.00  50.00  55.05 
 30.00   0.00  73.32 
 30.00   1.00  16.94 
 30.00   2.00  26.07 
 30.00   3.00  46.65 
 30.00   4.00  47.74 
 30.00   5.00  34.47 
 30.00   6.00  44.07 
 30.00   7.00  72.26 
 30.00   8.00  37.50 
 30.00   9.00  31.20 
 30.00  10.00  31.88 
 30.00  11.00  42.68 
 30.00  12.00  66.20 
 30.00  13.00  46.76 
 30.00  14.00  65.16 
 30.00  15.00  40.63 
 30.00  16.00  43.58 
 30.00  17.00  72.24 
 30.00  18.00  68.94 
 30.00  19.00  41.54 
 30.00  20.00  33.05 
 30.00  21.00  46.69 
 30.00  22.00  39.28 
 30.00  23.00  68.99 
 30.00  24.00  47.53 
 30.00  25.00  33.38 
 30.00  26.00  61.58 
 30.00  27.00  72.14 
 30.00  28.00  40.60 
 30.00  29.00  45.02 
 30.00  30.00  43.33 
 30.00  31.00  67.76 
 30.00  32.00  37.32 
 30.00  33.00  42.93 
 30.00  34.00  69.18 
 30.00  35.00  70.74 
 30.00  36.00  51.66 
 30.00  37.00  34.98 
 30.00  38.00  52.44 
 30.00  39.00  44.50 
 30.00  40.00  52.38 
 30.00  41.00  46.95 
 30.00  42.00  60.27 
 30.00  43.00  39.42 
 30.00  44.00  68.58 
 30.00  45.00  48.45 
 30.00  46.00  53.25 
 30.00  47.00  55.89 
 30.00  48.00  62.65 
 30.00  49.00  57.32 
 30.00  50.00  53.44 
 31.00   0.00  75.39 
 31.00   1.00  20.55 
 31.00   2.00  36.09 
 31.00   3.00  28.43 
 31.00   4.00  53.84 
 31.00   5.00  31.39 
 31.00   6.00  35.21 
 31.00   7.00  34.76 
 31.00   8.00  35.49 
 31.00   9.00  28.26 
 31.00  10.00  27.99 
 31.00  11.00  38.15 
 31.00  12.00  34.39 
 31.00  13.00  35.81 
 31.00  14.00  67.39 
 31.00  15.00  43.87 
 31.00  16.00  65.97 
 31.00  17.00  69.19 
 31.00  18.00  34.69 
 31.00  19.00  48.47 
 31.00  20.00  38.94 
 31.00  21.00  33.71 
 31.00  22.00  68.80 
 31.00  23.00  67.46 
 31.00  24.00  64.87 
 31.00  25.00  67.48 
 31.00  26.00  34.22 
 31.00  27.00  42.54 
 31.00  28.00  45.35 
 31.00  29.00  42.83 
 31.00  30.00  42.81 
 31.00  31.00  65.26 
 31.00  32.00  53.29 
 31.00  33.00  67.45 
 31.00  34.00  66.19 
 31.00  35.00  57.82 
 31.00  36.00  67.00 
 31.00  37.00  52.59 
 31.00  38.00  59.95 
 31.00  39.00  43.52 
 31.00  40.00  60.45 
 31.00  41.00  45.14 
 31.00  42.00  56.54 
 31.00  43.00  57.75 
 31.00  44.00  58.64 
 31.00  45.00  41.17 
 31.00  46.00  67.22 
 31.00  47.00  63.14 
 31.00  48.00  64.75 
 31.00  49.00  61.12 
 31.00  50.00  49.30 
 32.00   0.00  73.21 
 32.00   1.00  18.65 
 32.00   2.00  29.81 
 32.00   3.00  32.51 
 32.00   4.00  38.76 
 32.00   5.00  41.45 
 32.00   6.00  12.78 
 32.00   7.00  59.62 
 32.00   8.00  32.42 
 32.00   9.00  42.72 
 32.00  10.00  40.62 
 32.00  11.00  70.94 
 32.00  12.00  56.87 
 32.00  13.00  44.18 
 32.00  14.00  38.31 
 32.00  15.00  35.75 
 32.00  16.00  43.46 
 32.00  17.00  38.14 
 32.00  18.00  26.26 
 32.00  19.00  32.89 
 32.00  20.00  37.06 
 32.00  21.00  49.04 
 32.00  22.00  42.35 
 32.00  23.00  52.17 
 32.00  24.00  36.68 
 32.00  25.00  37.35 
 32.00  26.00  35.85 
 32.00  27.00  44.92 
 32.00  28.00  64.02 
 32.00  29.00  42.29 
 32.00  30.00  58.61 
 32.00  31.00  43.92 
 32.00  32.00  65.11 
 32.00  33.00  60.38 
 32.00  34.00  69.12 
 32.00  35.00  63.09 
 32.00  36.00  60.31 
 32.00  37.00  46.80 
 32.00  38.00  67.22 
 32.00  39.00  46.10 
 32.00  40.00  54.33 
 32.00  41.00  46.77 
 32.00  42.00  50.31 
 32.00  43.00  57.21 
 32.00  44.00  51.66 
 32.00  45.00  51.86 
 32.00  46.00  66.07 
 32.00  47.00  59.16 
 32.00  48.00  61.76 
 32.00  49.00  62.88 
 32.00  50.00  62.64 
 33.00   0.00  70.16 
 33.00   1.00  16.74 
 33.00   2.00  33.44 
 33.00   3.00  28.79 
 33.00   4.00  45.69 
 33.00   5.00  35.72 
 33.00   6.00  38.89 
 33.00   7.00  73.23 
 33.00   8.00  20.04 
 33.00   9.00  31.69 
 33.00  10.00  47.91 
 33.00  11.00  45.95 
 33.00  12.00  71.67 
 33.00  13.00  53.32 
 33.00  14.00  37.64 
 33.00  15.00  29.65 
 33.00  16.00  37.45 
 33.00  17.00  57.38 
 33.00  18.00  41.63 
 33.00  19.00  44.08 
 33.00  20.00  32.00 
 33.00  21.00  36.85 
 33.00  22.00  69.68 
 33.00  23.00  42.69 
 33.00  24.00  40.40 
 33.00  25.00  63.81 
 33.00  26.00  69.32 
 33.00  27.00  32.08 
 33.00  28.00  65.50 
 33.00  29.00  35.85 
 33.00  30.00  68.34 
 33.00  31.00  39.75 
 33.00  32.00  63.91 
 33.00  33.00  46.82 
 33.00  34.00  45.28 
 33.00  35.00  59.98 
 33.00  36.00  54.78 
 33.00  37.00  60.34 
 33.00  38.00  65.47 
 33.00  39.00  50.95 
 33.00  40.00  48.05 
 33.00  41.00  59.98 
 33.00  42.00  67.18 
 33.00  43.00  59.07 
 33.00  44.00  67.31 
 33.00  45.00  60.08 
 33.00  46.00  51.99 
 33.00  47.00  57.10 
 33.00  48.00  60.96 
 33.00  49.00  59.46 
 33.00  50.00  62.41 
 34.00   0.00  67.10 
 34.00   1.00  17.75 
 34.00   2.00  43.45 
 34.00   3.00  29.63 
 34.00   4.00  40.05 
 34.00   5.00  20.87 
 34.00   6.00  66.76 
 34.00   7.00  61.10 
 34.00   8.00  25.45 
 34.00   9.00  45.07 
 34.00  10.00  71.17 
 34.00  11.00  66.35 
 34.00  12.00  38.94 
 34.00  13.00  29.97 
 34.00  14.00  66.12 
 34.00  15.00  43.78 
 34.00  16.00  41.83 
 34.00  17.00  46.83 
 34.00  18.00  37.17 
 34.00  19.00  50.42 
 34.00  20.00  70.13 
 34.00  21.00  64.28 
 34.00  22.00  48.49 
 34.00  23.00  42.40 
 34.00  24.00  47.65 
 34.00  25.00  37.59 
 34.00  26.00  46.42 
 34.00  27.00  66.51 
 34.00  28.00  63.07 
 34.00  29.00  52.41 
 34.00  30.00  50.65 
 34.00  31.00  54.28 
 34.00  32.00  41.49 
 34.00  33.00  59.78 
 34.00  34.00  54.00 
 34.00  35.00  48.64 
 34.00  36.00  53.68 
 34.00  37.00  62.40 
 34.00  38.00  56.25 
 34.00  39.00  60.42 
 34.00  40.00  61.11 
 34.00  41.00  58.24 
 34.00  42.00  57.30 
 34.00  43.00  55.30 
 34.00  44.00  64.78 
 34.00  45.00  58.33 
 34.00  46.00  59.98 
 34.00  47.00  62.72 
 34.00  48.00  64.67 
 34.00  49.00  56.74 
 34.00  50.00  54.71 
 35.00   0.00  60.05 
 35.00   1.00  18.64 
 35.00   2.00  33.80 
 35.00   3.00  46.49 
 35.00   4.00  62.65 
 35.00   5.00  43.14 
 35.00   6.00  76.85 
 35.00   7.00  54.56 
 35.00   8.00  42.92 
 35.00   9.00  72.11 
 35.00  10.00  38.35 
 35.00  11.00  43.79 
 35.00  12.00  35.57 
 35.00  13.00  32.71 
 35.00  14.00  67.54 
 35.00  15.00  44.91 
 35.00  16.00  67.95 
 35.00  17.00  50.89 
 35.00  18.00  32.55 
 35.00  19.00  37.58 
 35.00  20.00  41.14 
 35.00  21.00  41.02 
 35.00  22.00  37.72 
 35.00  23.00  46.37 
 35.00  24.00  39.17 
 35.00  25.00  68.97 
 35.00  26.00  66.67 
 35.00  27.00  70.44 
 35.00  28.00  40.24 
 35.00  29.00  44.84 
 35.00  30.00  42.36 
 35.00  31.00  41.85 
 35.00  32.00  39.99 
 35.00  33.00  56.75 
 35.00  34.00  33.05 
 35.00  35.00  65.90 
 35.00  36.00  38.72 
 35.00  37.00  62.01 
 35.00  38.00  49.09 
 35.00  39.00  59.71 
 35.00  40.00  55.47 
 35.00  41.00  66.54 
 35.00  42.00  69.12 
 35.00  43.00  61.54 
 35.00  44.00  68.81 
 35.00  45.00  65.45 
 35.00  46.00  56.14 
 35.00  47.00  64.04 
 35.00  48.00  65.08 
 35.00  49.00  65.41 
 35.00  50.00  54.61 
 36.00   0.00  71.26 
 36.00   1.00  27.00 
 36.00   2.00  34.53 
 36.00   3.00  42.68 
 36.00   4.00  29.65 
 36.00   5.00  15.64 
 36.00   6.00  30.05 
 36.00   7.00  46.28 
 36.00   8.00  47.33 
 36.00   9.00  45.44 
 36.00  10.00  66.04 
 36.00  11.00  42.28 
 36.00  12.00  37.49 
 36.00  13.00  70.22 
 36.00  14.00  72.52 
 36.00  15.00  42.16 
 36.00  16.00  68.33 
 36.00  17.00  45.32 
 36.00  18.00  40.30 
 36.00  19.00  46.06 
 36.00  20.00  44.07 
 36.00  21.00  63.41 
 36.00  22.00  69.50 
 36.00  23.00  68.53 
 36.00  24.00  38.45 
 36.00  25.00  62.03 
 36.00  26.00  61.83 
 36.00  27.00  44.45 
 36.00  28.00  45.49 
 36.00  29.00  48.58 
 36.00  30.00  48.41 
 36.00  31.00  27.65 
 36.00  32.00  47.38 
 36.00  33.00  69.89 
 36.00  34.00  63.54 
 36.00  35.00  61.11 
 36.00  36.00  67.75 
 36.00  37.00  56.49 
 36.00  38.00  57.63 
 36.00  39.00  53.42 
 36.00  40.00  55.89 
 36.00  41.00  55.27 
 36.00  42.00  62.06 
 36.00  43.00  59.13 
 36.00  44.00  63.27 
 36.00  45.00  65.59 
 36.00  46.00  62.13 
 36.00  47.00  57.38 
 36.00  48.00  55.85 
 36.00  49.00  63.28 
 36.00  50.00  62.98 
 37.00   0.00  64.37 
 37.00   1.00  19.55 
 37.00   2.00  29.94 
 37.00   3.00  38.94 
 37.00   4.00  35.21 
 37.00   5.00  52.95 
 37.00   6.00  29.87 
 37.00   7.00  46.55 
 37.00   8.00  69.29 
 37.00   9.00  66.36 
 37.00  10.00  52.70 
 37.00  11.00  34.67 
 37.00  12.00  62.64 
 37.00  13.00  37.60 
 37.00  14.00  15.49 
 37.00  15.00  45.27 
 37.00  16.00  53.50 
 37.00  17.00  62.98 
 37.00  18.00  70.00 
 37.00  19.00  63.78 
 37.00  20.00  54.23 
 37.00  21.00  50.02 
 37.00  22.00  40.16 
 37.00  23.00  71.05 
 37.00  24.00  43.97 
 37.00  25.00  45.96 
 37.00  26.00  48.17 
 37.00  27.00  43.60 
 37.00  28.00  65.10 
 37.00  29.00  59.61 
 37.00  30.00  48.75 
 37.00  31.00  38.84 
 37.00  32.00  67.63 
 37.00  33.00  65.25 
 37.00  34.00  58.22 
 37.00  35.00  62.26 
 37.00  36.00  60.08 
 37.00  37.00  63.81 
 37.00  38.00  61.82 
 37.00  39.00  64.26 
 37.00  40.00  64.73 
 37.00  41.00  62.69 
 37.00  42.00  67.06 
 37.00  43.00  64.29 
 37.00  44.00  64.18 
 37.00  45.00  65.84 
 37.00  46.00  64.46 
 37.00  47.00  64.28 
 37.00  48.00  56.83 
 37.00  49.00  58.66 
 37.00  50.00  55.44 
 38.00   0.00  67.89 
 38.00   1.00   4.75 
 38.00   2.00  28.34 
 38.00   3.00  41.46 
 38.00   4.00  43.13 
 38.00   5.00  33.49 
 38.00   6.00  46.31 
 38.00   7.00  39.22 
 38.00   8.00  36.95 
 38.00   9.00  64.26 
 38.00  10.00  40.29 
 38.00  11.00  42.59 
 38.00  12.00  41.10 
 38.00  13.00  62.91 
 38.00  14.00  44.42 
 38.00  15.00  40.57 
 38.00  16.00  64.55 
 38.00  17.00  58.16 
 38.00  18.00  52.46 
 38.00  19.00  66.78 
 38.00  20.00  55.03 
 38.00  21.00  62.70 
 38.00  22.00  54.30 
 38.00  23.00  40.93 
 38.00  24.00  43.79 
 38.00  25.00  42.10 
 38.00  26.00  68.23 
 38.00  27.00  47.78 
 38.00  28.00  65.93 
 38.00  29.00  70.61 
 38.00  30.00  62.30 
 38.00  31.00  56.64 
 38.00  32.00  63.49 
 38.00  33.00  67.63 
 38.00  34.00  61.69 
 38.00  35.00  61.21 
 38.00  36.00  68.54 
 38.00  37.00  66.84 
 38.00  38.00  63.42 
 38.00  39.00  56.17 
 38.00  40.00  63.40 
 38.00  41.00  67.83 
 38.00  42.00  58.32 
 38.00  43.00  66.02 
 38.00  44.00  60.60 
 38.00  45.00  59.93 
 38.00  46.00  65.49 
 38.00  47.00  61.87 
 38.00  48.00  55.21 
 38.00  49.00  67.43 
 38.00  50.00  60.33 
 39.00   0.00  66.37 
 39.00   1.00  17.62 
 39.00   2.00  24.49 
 39.00   3.00  38.39 
 39.00   4.00  62.74 
 39.00   5.00  70.96 
 39.00   6.00  31.05 
 39.00   7.00  40.07 
 39.00   8.00  63.64 
 39.00   9.00  72.60 
 39.00  10.00  31.92 
 39.00  11.00  39.45 
 39.00  12.00  30.05 
 39.00  13.00  74.54 
 39.00  14.00  53.65 
 39.00  15.00  34.76 
 39.00  16.00  42.85 
 39.00  17.00  29.22 
 39.00  18.00  66.34 
 39.00  19.00  32.99 
 39.00  20.00  71.31 
 39.00  21.00  70.72 
 39.00  22.00  47.43 
 39.00  23.00  49.93 
 39.00  24.00  43.87 
 39.00  25.00  37.36 
 39.00  26.00  66.56 
 39.00  27.00  50.87 
 39.00  28.00  71.39 
 39.00  29.00  67.85 
 39.00  30.00  39.18 
 39.00  31.00  64.67 
 39.00  32.00  56.55 
 39.00  33.00  70.40 
 39.00  34.00  62.08 
 39.00  35.00  67.85 
 39.00  36.00  56.61 
 39.00  37.00  59.13 
 39.00  38.00  62.84 
 39.00  39.00  63.06 
 39.00  40.00  58.18 
 39.00  41.00  64.61 
 39.00  42.00  69.67 
 39.00  43.00  64.14 
 39.00  44.00  59.94 
 39.00  45.00  58.40 
 39.00  46.00  63.89 
 39.00  47.00  61.20 
 39.00  48.00  63.31 
 39.00  49.00  67.34 
 39.00  50.00  59.10 
 40.00   0.00  72.75 
 40.00   1.00  18.71 
 40.00   2.00  45.05 
 40.00   3.00  39.02 
